trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9900498337491681}",25,0,-142.5760494416868,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.9801986733067553}",20,8,-47.56638771846184,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.6, 'e': 0.9704455335485082}",20,0,-17.01766010668295,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.9607894391523232}",30,10,-56.044149298208964,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.6, 'e': 0.951229424500714}",25,11,-6.977003374311735,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.9417645335842487}",30,19,-10.545110866057719,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.6, 'e': 0.9323938199059483}",25,0,-8.094318528914439,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.9231163463866358}",20,0,26.862499667841423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.9139311852712282}",20,0,-60.74400274446486,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.9048374180359596}",25,0,0.8652755543177395,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.8958341352965282}",20,0,-25.45585435125106,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.8869204367171575}",25,11,20.84676724250798,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.8780954309205613}",30,18,-21.385178047644388,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.6, 'e': 0.8693582353988059}",35,15,23.777958182836944,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.6, 'e': 0.8607079764250578}",20,0,18.10842223351963,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.8521437889662113}",25,0,-8.106259387066975,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.8436648165963837}",20,9,22.231330008605887,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.835270211411272}",20,0,11.177594220177035,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
